name,mfr,type,calories,protein
100% Bran,N,C,70,4
100% Natural Bran,Q,C,120,3
All-Bran,K,C,70,4
All-Bran with Extra Fiber,K,C,50,4
Almond Delight,R,,110,2
Apple Cinnamon Cheerios,G,C,110,2
Apple Jacks,K,C,110,2
Basic 4,G,C,,3
Bran Chex,R,C,90,2
Bran Flakes,P,C,90,3
Cap'n'Crunch,Q,C,120,1
Cheerios,G,C,110,6
Cinnamon Toast Crunch,G,C,120,1
Clusters,G,C,110,3
Cocoa Puffs,G,C,110,1
Corn Chex,R,C,110,2
Corn Flakes,K,C,100,2
Corn Pops,K,C,110,1
Count Chocula,G,C,110,1
Cracklin' Oat Bran,K,C,110,3
Cream of Wheat (Quick),N,H,100,3
